,ID,Adult,Not Adult,NotInCollection,InCollection,English /Non English,ExYear,ExMonth,ExDay,Canceled,In Production,Planned,Post Production,Released,Rumored,Unknown
0,3,1,0,1,0,1,1995,11,21,0,0,0,0,1,0,0
1,6,1,0,1,0,1,1995,12,15,0,0,0,0,1,0,0
2,10,1,0,1,0,1,1995,5,20,0,0,0,0,1,0,0
3,14,1,0,1,0,1,1995,12,22,0,0,0,0,1,0,0
4,16,1,0,1,0,1,1995,11,22,0,0,0,0,1,0,0
5,21,1,0,1,0,1,1995,5,5,0,0,0,0,1,0,0
6,26,1,0,1,0,1,1995,12,15,0,0,0,0,1,0,0
7,32,1,0,1,0,1,1995,12,29,0,0,0,0,1,0,0
8,34,1,0,1,0,1,1995,1,20,0,0,0,0,1,0,0
9,39,1,0,1,0,1,1994,10,6,0,0,0,0,1,0,0
10,43,1,0,1,0,1,1993,5,28,0,0,0,0,1,0,0
11,45,1,0,0,1,1,1996,8,3,0,0,0,0,1,0,0
12,46,1,0,1,0,1,1995,8,9,0,0,0,0,1,0,0
13,47,1,0,1,0,1,1995,9,22,0,0,0,0,1,0,0
14,48,1,0,1,0,1,1995,8,9,0,0,0,0,1,0,0
15,51,1,0,1,0,1,1996,11,15,0,0,0,0,1,0,0
16,55,1,0,1,0,1,1995,7,28,0,0,0,0,1,0,0
17,58,1,0,1,0,0,1994,9,22,0,0,0,0,1,0,0
18,59,1,0,1,0,1,1995,3,11,0,0,0,0,1,0,0
19,61,1,0,0,1,1,1996,8,23,0,0,0,0,1,0,0
20,62,1,0,1,0,1,1995,6,9,0,0,0,0,1,0,0
21,65,1,0,1,0,1,1995,8,6,0,0,0,0,1,0,0
22,66,1,0,1,0,0,1933,10,3,0,0,0,0,1,0,0
23,68,1,0,1,0,1,1996,11,10,0,0,0,0,1,0,0
24,71,1,0,0,1,1,1996,8,23,0,0,0,0,1,0,0
25,73,1,0,1,0,1,1995,9,13,0,0,0,0,1,0,0
26,74,1,0,1,0,1,1996,10,31,0,0,0,0,1,0,0
27,80,1,0,1,0,0,1995,1,1,0,0,0,0,1,0,0
28,81,1,0,1,0,1,1990,9,28,0,0,0,0,1,0,0
29,82,1,0,1,0,0,1995,12,9,0,0,0,0,1,0,0
30,85,1,0,1,0,1,1996,9,9,0,0,0,0,1,0,0
31,86,1,0,1,0,1,1996,12,18,0,0,0,0,1,0,0
32,87,1,0,1,0,1,1996,1,6,0,0,0,0,1,0,0
33,89,1,0,1,0,1,1993,5,3,0,0,0,0,1,0,0
34,95,1,0,1,0,1,1995,1,12,0,0,0,0,1,0,0
35,96,1,0,1,0,0,1995,5,31,0,0,0,0,1,0,0
36,99,1,0,1,0,1,1997,6,8,0,0,0,0,1,0,0
37,104,1,0,1,0,1,1995,5,28,0,0,0,0,1,0,0
38,106,1,0,1,0,1,1998,1,19,0,0,0,0,1,0,0
39,107,1,0,1,0,1,1995,8,12,0,0,0,0,1,0,0
40,108,1,0,1,0,1,1997,12,25,0,0,0,0,1,0,0
41,109,1,0,1,0,1,1995,5,24,0,0,0,0,1,0,0
42,118,1,0,1,0,1,1997,1,16,0,0,0,0,1,0,0
43,120,1,0,1,0,1,1992,6,12,0,0,0,0,1,0,0
44,121,1,0,1,0,1,1998,8,5,0,0,0,0,1,0,0
