,budget,popularity,revenue,runtime
0,60000000.0,7.337906,35431113.0,103.0
1,60000000.0,17.924927,187436818.0,170.0
2,21282480.35396736,0.001346,71960671.26235613,110.0
3,44000000.0,5.092,13681765.0,192.0
4,52000000.0,10.137389,116112375.0,178.0
5,21282480.35396736,9.146544,71960671.26235613,111.0
6,21282480.35396736,1.845899,71960671.26235613,123.0
7,29500000.0,12.297305,168840000.0,129.0
8,21282480.35396736,0.912415,71960671.26235613,108.0
9,21282480.35396736,0.775898,71960671.26235613,83.0
10,48000000.0,7.198455,20915465.0,104.0
11,21282480.35396736,14.657754,32709423.0,89.0
12,21282480.35396736,4.619915,442965.0,92.0
13,33000000.0,18.45743,327311859.0,127.0
14,21282480.35396736,0.065827,71960671.26235613,89.0
15,80000000.0,11.054251,250200000.0,88.0
16,21282480.35396736,4.357971,71960671.26235613,107.0
17,21282480.35396736,10.168437,71960671.26235613,108.0
18,21282480.35396736,5.508101,71960671.26235613,94.0
19,21282480.35396736,9.898696,71960671.26235613,90.0
20,21282480.35396736,1.606957,71960671.26235613,91.0
21,21282480.35396736,0.234665,71960671.26235613,89.0
22,21282480.35396736,0.472479,71960671.26235613,88.0
23,50000000.0,3.998494,22540359.0,113.0
24,3000000.0,7.088533,71960671.26235613,110.0
25,21282480.35396736,0.001177,71960671.26235613,85.0
26,14500000.0,11.774061,147298761.0,120.0
27,21282480.35396736,1.196256,71960671.26235613,85.0
28,21282480.35396736,0.075885,269823.0,98.0
29,900000.0,2.030174,71960671.26235613,102.0
30,6000000.0,2.363293,71960671.26235613,97.0
31,21282480.35396736,2.369637,71960671.26235613,113.0
32,21282480.35396736,0.005555,71960671.26235613,95.0
33,21282480.35396736,3.941294,71960671.26235613,96.0
34,21282480.35396736,0.513391,71960671.26235613,99.0
35,3000000.0,12.108196,71960671.26235613,98.0
36,21282480.35396736,0.883889,13960203.0,93.0
37,24000000.0,5.951077,182016617.0,135.0
38,25000000.0,9.941228,55494066.0,111.0
39,21282480.35396736,0.976707,71960671.26235613,95.0
40,15000000.0,7.603652,64256513.0,97.0
41,72000000.0,20.755149,210000000.0,177.0
42,21282480.35396736,0.312753,425788.0,105.0
43,21282480.35396736,0.86539,71960671.26235613,90.0
44,75000000.0,11.644633,140464664.0,120.0
45,21282480.35396736,6.778979,71960671.26235613,102.0
46,25000000.0,12.834276,227853986.0,114.0
47,21282480.35396736,0.699066,71960671.26235613,95.0
48,1200000.0,11.32442,71215869.0,78.0
49,7200000.0,3.835188,12729678.0,104.0
50,21282480.35396736,1.643899,71960671.26235613,107.0
51,21282480.35396736,0.370342,71960671.26235613,91.0
52,21282480.35396736,1.768854,30688860.0,96.0
53,38000000.0,7.118123,266614059.0,117.0
54,21282480.35396736,0.639285,71960671.26235613,95.0
55,21282480.35396736,0.88051,71960671.26235613,92.0
56,52000000.0,18.761467,355237933.0,140.0
57,50000000.0,11.690532,23717291.0,108.0
58,21282480.35396736,7.17892,71960671.26235613,124.0
59,21282480.35396736,0.670559,71960671.26235613,112.0
60,21282480.35396736,4.515523,9090.0,92.0
61,21282480.35396736,0.407322,71960671.26235613,110.0
62,16000000.0,9.356587,18564088.0,100.0
63,21282480.35396736,1.239074,71960671.26235613,86.0
64,21282480.35396736,6.224859,14302779.0,119.0
65,21282480.35396736,2.698585,71960671.26235613,90.0
66,21282480.35396736,1.548028,71960671.26235613,110.0
67,14000000.0,7.171138,206128.0,104.0
