,budget,popularity,revenue,runtime
0,30000000.0,21.946943,373554033.0,81.0
1,21818607.837143928,2.561161,66682344.3390211,97.0
2,12000000.0,8.681325,27400000.0,100.0
3,21818607.837143928,1.100915,66682344.3390211,108.0
4,30000000.0,14.404764,254134910.0,89.0
5,21818607.837143928,0.894647,676525.0,106.0
6,20000000.0,12.758848,5781885.0,108.0
7,17000000.0,6.252377,66682344.3390211,95.0
8,21818607.837143928,0.291021,66682344.3390211,102.0
9,21818607.837143928,12.140733,11348324.0,78.0
10,4000000.0,0.922958,851545.0,113.0
11,16500000.0,10.673167,135000000.0,136.0
12,22000000.0,13.304342,110627965.0,114.0
13,10000000.0,6.638116,26488734.0,89.0
14,55000000.0,11.812244,214015089.0,123.0
15,21818607.837143928,1.788829,66682344.3390211,92.0
16,21818607.837143928,4.81307,66682344.3390211,107.0
17,21818607.837143928,3.770115,18137661.0,108.0
18,3600000.0,10.332025,49800000.0,112.0
19,15000000.0,6.259433,11300653.0,133.0
20,21818607.837143928,2.228434,66682344.3390211,104.0
21,18000000.0,9.822423,1738611.0,108.0
22,3000000.0,5.254847,15119639.0,106.0
23,21818607.837143928,11.272073,66682344.3390211,101.0
24,45000000.0,10.511241,66682344.3390211,111.0
25,21818607.837143928,0.0368,66682344.3390211,115.0
26,11000000.0,6.891317,39363635.0,122.0
27,13000000.0,6.559693,428868.0,87.0
28,21818607.837143928,4.304224,1796389.0,107.0
29,21818607.837143928,2.913584,66682344.3390211,98.0
30,21000000.0,10.234919,227799884.0,105.0
31,21818607.837143928,1.825468,66682344.3390211,113.0
32,21818607.837143928,3.40523,66682344.3390211,101.0
33,21818607.837143928,0.466476,66682344.3390211,80.0
34,6000000.0,16.302466,23341568.0,106.0
35,21818607.837143928,2.272213,66682344.3390211,128.0
36,21818607.837143928,1.361286,66682344.3390211,116.0
37,21818607.837143928,2.791667,66682344.3390211,110.0
38,21818607.837143928,4.386329,66682344.3390211,78.0
39,21818607.837143928,0.75,66682344.3390211,88.0
40,50.0,0.837911,66682344.3390211,90.0
41,21818607.837143928,12.297782,66682344.3390211,108.0
42,6000000.0,1.19589,12643776.0,117.0
43,21818607.837143928,0.537795,66682344.3390211,99.0
44,3500000.0,14.56965,28215918.0,91.0
45,21818607.837143928,7.186506,66682344.3390211,84.0
46,21818607.837143928,3.367276,718490.0,96.0
47,21818607.837143928,1.715751,66682344.3390211,81.0
48,15000000.0,20.301019,356830601.0,110.0
49,21818607.837143928,0.133893,66682344.3390211,70.0
50,6000000.0,10.124544,50244700.0,99.0
51,21818607.837143928,11.431866,66682344.3390211,109.0
52,21818607.837143928,0.112249,66682344.3390211,91.0
53,3000000.0,3.233531,33946224.0,94.0
54,21818607.837143928,0.935473,66682344.3390211,97.27631980469943
55,21818607.837143928,0.455272,66682344.3390211,96.0
56,21818607.837143928,0.060645,532654.0,74.0
57,16500000.0,11.749159,67683989.0,94.0
